predicted_answer,actual_answer,사고원인,인적사고
"재발 방지를 위해 작업 시 2인1조 원칙 엄격히 준수하고, 안전 발판 및 안전 그물 설치 의무화하며 정기적인 안전 교육 실시한다. 향후 모든 배관 작업은 안전한 작업대 사용을 의무화하고, 위험 요소 사전 점검 체계 강화한다.",작업자 안전관리 철저에 대한 재발 방지 대책과 향후 조치 계획.,2인1조로 사다리에서 배관작업하던중 수상하는 사고 발생,떨어짐(2미터 미만)
"작업자 안전 교육 강화 및 철근 절단 시 안전 장비 착용 의무화, 작업 공간 내 철근 파편 관리 체계 구축.","작업자 특별안전교육 및 철근 절단기 안전가림막 설치를 통한 재발 방지 대책과 작업자 특별안전조치 후 작업 시행 및 설비 안전조치 예정, 재해자 건강상태 수시 확인, 산업재해조사표 제출(시공사)으로 구성된 향후 조치 계획.",철근 절단 작업을 하던 중 철근파편에 의한 골절사고로 작업자의 부주의 등으로 발생,물체에 맞음
"작업장 내 미끄러짐 위험 지점에 미끄럼 방지 매트 설치 및 정기적인 점검 강화, 근로자 대상 안전 교육 확대하여 미끄러짐 위험 인지 향상, 안전 장비 착용 의무화 및 위반 시 제재 조치 도입.",안전교육 및 안전작업 지시와 공사현장 주변 위험요소 안전조치 및 지속적 모니터링 통지.,재해자가 간이화장실에서 나오다가 계단에서 미끄러지면서 화장실 앞 크릭을 밟으면서 펜스쪽 낮은 웅덩이에 빠지면서 파이프에 부딪혀 늑골골절.,넘어짐(기타)
안전 교육 강화와 작업 환경 개선을 통해 안전장구 착용 의무화 및 정기적 안전 점검 실시 계획 수립.,띠상 상부 출입금지 및 부득이 출입 시 안전로프에 안전걸이 착용 철저와 안전관리 철저 행정지도 시행.,이동중의 불편함으로 인하여 안전걸이를 걸지않아 추락재해 발생,떨어짐(분류불능)
작업자 안전 교육 강화 및 안전 자세 준수 점검 실시 계획 수립.,쇠지랫대 후면부 보호캡 제작 및 부착과 작업 투입 전 특별교육 실시 계획.,작업중 불안전한 자세 / 불안전한 행동,찔림
위험성 평가 강화 및 아웃트리거 사용 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"B/T비계 주차 위치 지정, 해당 구간 자재 적재 금지, 아웃트리거 회전 가능 설계 및 설치, 돌출부 보양 실시.",아웃트리거 부딪힘에 대한 위험성 미인지,부딪힘
"사고 원인에 대한 교육 강화와 안전 점검을 엄격히 실시하며, 저수조 덮개 재질을 안전한 것으로 교체하고 토사 제거 절차를 명확히 규정하여 준수하도록 관리 강화합니다. 또한 정기적인 안전 점검과 근로자 안전 교육을 통해 재발 방지에 힘쓰겠습니다.",정화조 개구부 주철덮개 설치와 사고사례 전파 및 안전교육을 통한 재발 방지 대책 및 향후 조치 계획.,1. 저수조 덮개로 합판 사용2. 성토되어 있던 토사를 임의로 제거,떨어짐(5미터 이상 ~ 10미터 미만)
"작업 중 안전모 착용 의무화 및 작업 공간 내 잔해물 관리 강화를 통한 재발 방지 대책을 마련하고, 정기적인 안전 교육과 현장 점검을 실시하여 안전 의식을 제고합니다.",현장 안전 조치 및 안전교육을 통한 재발 방지.,"세대 내 벽체 미장 후, 고개를 들어 위쪽 작업면을 확인 중 상부 잔해물이 떨어져 눈에 맞음",물체에 맞음
작업자 안전 교육 강화 및 정기적인 장비 안전 점검 실시로 재발 방지 대책 및 향후 조치 계획 수립.,기계장비 사용 시 사전 안전교육 실시 안내 및 현장지도.,장비(절단그라인더) 사용시 작업자 사용 부주의,"절단, 베임"
"안전 교육 강화와 개인 안전 의식 제고 프로그램 도입으로 근로자의 안전 행동 준수를 유도하고, 계단 주변 안전 장치 설치를 통해 물리적 보호를 제공합니다.",해당 공종 근로자 교육 지도 및 작업 관리감독 강화 실시.,근로자의 불안전한 행동으로 인하여 아파트 2층 계단부 우마에서 넘어지면서 손목에 충격이 발생하였음,넘어짐(기타)
안전 교육 강화 및 현장 감독 체계 개선 실시.,현장 근로자 작업 시 안전의식 고취와 근로복지공단의 23. 9. 11. ~ 9. 25. 15일간 통원치료 완료에 따른 조치 계획.,작업자 부주의(일용직),끼임
안전 교육 강화 및 작업 절차 엄격히 준수하도록 관리 체계 개선.,작업순서 준수 절차 및 무리한 동작 예방 교육 실시.,불안전한행동 및 작업순서 미준수,물체에 맞음
사고 원인 분석 후 비계 단차 표시 강화 및 작업자 안전 교육 실시 계획 수립.,"작업발판 사이 틈 제거와 단차부위 안전표지판 설치, 지상층 외부 비계 정리정돈, 단차부위 제거를 위한 작업발판 보강, 자재물 낙하 방지를 위한 쪽망 설치.",외부 비계 단차부위 미인지,부딪힘
안전장비 착용 의무화 및 작업 중 파편 차단 장치 설치 의무화. 정기적인 안전 교육 실시.,감독자 관리 강화를 통한 향후 조치 계획.,글라인더 파편 타격,물체에 맞음
"안전 교육 강화와 정기적인 안전 점검 실시를 통해 띠장 철거 시 안전 절차 준수를 확보하고, 보호 장비 사용 의무화 및 안전 그물 설치 의무화로 추락 위험 최소화한다.","사고 발생 다음날 책임감리원의 안전교육 강화 및 안전점검 시행과 현장 안전교육 강화 및 사고사례 전파, 책임감리원의 현장 안전점검 철저 지시로 인한 재발 방지 대책 마련.",띠장 철거시 추락사고,떨어짐(3미터 이상 ~ 5미터 미만)
작업 절차 개선과 정기적인 안전 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,트레이를 당기는 작업 시 브라켓(Y형 타입의 장대)을 사용하여 기 설치된 배관과 이격하는 작업기준 수칙 준수 및 작업자 안전교육 실시.,트레이 설치를 위해 양손으로 트레이를 당기던중 기 설치된 배관에 우 제4수지가 협착.,끼임
"안전 교육 강화 및 생명선 안전고리 체결 의무화, 현장 점검 강화로 안전장비 사용 확인, 안전 절차 준수 감독 강화 실시.","작업자들에게 더 명확한 안전 교육 실시와 감독 철저, 사고 대상자 퇴원까지 동향 파악 및 향후 감독 철저.","갱폼 인상 후 가체결을 하러 이동 중 실족으로 인하여 공동주택 외부로 낙상사고 발생, 당시 안전난간과 생명선이 설치되어 있었으며, 작업자는 안전대를 착용하였으나, 생명선에 안전고리를 체결하지 않아 사고 발생.",떨어짐(5미터 이상 ~ 10미터 미만)
"충돌방지 센서의 정기적 점검 및 운전자 교육 강화, 운반작업 시 신호수와 운전자 간의 명확한 소통 채널 구축, 사고 발생 시 신속한 대응 훈련 실시 및 안전 장비 착용 의무화.","충돌방지센서 교체, 무전기 지급, 안전교육 시행 및 현장 방문을 통한 사후 조치사항 확인으로 안전성 향상 계획.",타워크레인 운전자가 충돌방지 센서를 인식하지 못해 3호기 붐이 2호기 와이어 로프와 충돌하게 됨. 이를 발견한 신호수가 급히 피하던 중 넘어져 왼손 엄지손가락 탈골,넘어짐(기타)
안전 교육 강화와 철근 배치 표준화를 통한 재발 방지 대책 마련. 정기적인 현장 점검 실시 계획 수립.,T.B.M 활동 및 교육 철저에 대한 재발 방지 대책과 향후 조치 계획.,콘크리트 타설작업중 오른쪽 발이 철근배근 사이에 빠지는 사고 발생,넘어짐(기타)
"기초 철근 작업 시 실족 방지망 설치 의무화 및 정기적인 안전 점검 강화를 통해 재발 방지 대책을 마련합니다. 향후 모든 설치 작업에서 안전 망 설치를 필수 조치로 규정하고, 안전 교육을 강화하여 작업자 인식 제고를 도모합니다.",철근 상부 작업자 이동동선 실족방지망 설치와 산업재해 조사표 작성 및 산재 신청을 통한 재발 방지 대책 마련.,기초 철근 상부 실족 방지망 미설치로 인한 이동 시 불안전 상태에서 작업,넘어짐(물체에 걸림)
"정확한 측량 및 설계 지침 준수, 되메우기 및 다짐 작업 강화, 지반 안정성 평가 강화, 주변 구조물 하중 분석 및 보강 검토, 정기적 지반 상태 모니터링 실시.","되메우기 및 다짐 관리 철저와 작업 구간 사전 조사, 관리자 및 근로자 시공 관련 사전 교육 및 재발 방지 교육 실시.","굴착 후 강관파일(PIT.D2000) 삽입공정에 따른 포장층 하부 되메우기 및 다짐관리 미흡으로 인한 공동구 발생, 외부충격 및 하중 증가로 씽크홀 발생",기타
"재발 방지를 위해 작업 전 안전 교육 강화와 자재 적재 시 안정성 점검 절차 도입, 그리고 작업 공간 내 장애물 제거 및 안전 통로 확보를 실시합니다. 향후에는 정기적인 안전 점검과 함께 위반 시 즉각적인 행정 조치를 통해 안전 문화를 정착시킬 계획입니다.",작업자 안전교육 실시와 산업재해처리 및 병원처치의 통합적 실행.,작업자 2명이 석고보드 운반작업진행중 기운반되어 적재된 석고보드가 손상이 심해서 손상이 없는 석고보드 자재를 우선운반하던 중 기운반되어 있는 석고보드 자재와 전동쟈키사이에 오른쪽 발목 윗부분이 협착됨,끼임
작업지휘자와 작업자 간 명확한 의사소통 체계 구축 및 안전 절차 준수 교육 강화로 재발 방지 대책 마련.,"거푸집 조립 및 장비작업 진행 시 작업계획서의 철저한 관리와 공정 안전반장 및 작업지휘자의 작업내용 숙지, 팀원 교육의 철저함이 요구되는 재발 방지 대책과 향후 조치 계획.",1. 조립된 슬래브 거푸집을 설치중 작업지휘자와 거푸집 조립공과의 작업순서 숙지 미흡으로 해당 거푸집공 미끄러짐,넘어짐(미끄러짐)
작업발판 설치 지침 강화 및 정기 점검 실시.,안전난간 설치와 가설발판 및 안전난간 설치 점검작업자 안전교육을 포함한 재발 방지 대책.,작업발판설치 미흡,떨어짐(2미터 미만)
근로자 시야 확보를 위한 안전 교육 강화 및 작업 환경 개선 조치 계획 수립.,가설발판 폭 연장과 근로자 이동시 불안전한 행동에 대한 교육 실시.,근로자 시야 미확보,기타
안전 교육 강화 및 안전 장비 착용 의무화를 통한 재발 방지 대책 마련. 정기적인 안전 점검 실시 계획 수립.,안전교육 실시 및 현장 안전교육과 관리 계획.,"사다리작업 시, 안전부주의로 인해 발생.",찔림
안전고리 체결 시 최저 높이 확보를 위한 정기적인 안전 점검 강화와 작업자 교육 확대 실시.,"고소작업 시 그네식 안전벨트 착용 및 생명줄 선 설치, TBM 실시 시 위험작업에 대한 가상교육을 통한 사전위험 숙지 및 제거, 위험공정 전 교육 실시.",안전고리를 체결하였지만 최하사점 높이 미확보,떨어짐(2미터 미만)
"해체 작업 시 안전한 당김 방법 교육 강화 및 작업자 간 안전 확인 절차 도입, 유로폼 해체 후 정리 상태 점검 의무화하여 향후 유사 사고 방지.",안전교육 및 불안전한 작업자 교육 실시와 산재처리 후 요양중인 상황.,지상3층 유로폼을 해체하기 위해 유로폼을 당기며 뒷걸음질 하던 중 당기던 유로폼이 빠지면서 몸에 중심을 잃고 뒤면으로 넘어졌고 기 해체된 유로폼에 부딪치면서 재해가 발생됨,넘어짐(기타)
"보호구 착용 의무화 강화와 정기적인 안전 교육 실시를 통한 재발 방지 대책을 마련하고, 향후 모든 할암기 작업 시 보안경 착용을 의무화하며, 작업 중 보호장구 착용 상태 점검을 강화할 계획입니다.",근로자 보안경 착용 철저 지시 및 현장지도 실시.,"할암기 작업 중 깨진 돌조각이 튀었으며, 잠시 보안경 벗는 사이 작업자 눈에 맞음",물체에 맞음
"작업 절차 재검토 및 안전 거리 확보 지침 마련, 정기적인 안전 교육 실시를 통한 재발 방지 대책 수립.","파이프렉에 배관을 지지할 수 있는 전용틀 제작과 배관 이동, 안전 교육 철저.","파이프렉과 배관의 길이가 비슷해서, 배관을 밀던중 계획된 거리보다 더 많이 밀려나가 배관이 기울어짐",끼임
